,time,open,high,low,close,tick_volume,real_volume,next_day_close,next_day_close_status,linear_reg,ap,ad
10,2006-07-17,11.49,11.88,11.36,11.57,248,329400000,11.62,alta,11.62927272727272,57.142857142857146,14.285714285714286
11,2006-07-18,11.57,11.78,11.49,11.62,435,580600000,12.22,alta,11.654545454545456,42.85714285714286,0.0
12,2006-07-19,11.72,12.22,11.56,12.22,557,852000000,12.03,baixa,11.825454545454546,28.571428571428573,71.42857142857143
13,2006-07-20,12.31,12.31,11.74,12.03,337,318200000,12.0,baixa,11.916545454545465,14.285714285714286,57.142857142857146
14,2006-07-21,12.08,12.1,11.74,12.0,234,342200000,12.21,alta,11.933090909090907,0.0,42.85714285714286
15,2006-07-24,12.0,12.21,12.0,12.21,423,786800000,12.33,alta,12.048363636363629,71.42857142857143,28.571428571428573
16,2006-07-25,12.17,12.56,12.02,12.33,492,1001800000,12.43,alta,12.216909090909096,100.0,14.285714285714286
17,2006-07-26,12.38,12.58,12.12,12.43,324,462800000,12.03,baixa,12.401999999999994,100.0,0.0
18,2006-07-27,12.45,12.58,12.03,12.03,230,330800000,12.0,baixa,12.35145454545455,100.0,0.0
19,2006-07-28,12.25,12.33,11.89,12.0,511,951000000,11.77,baixa,12.286727272727276,85.71428571428572,0.0
20,2006-07-31,11.99,12.16,11.53,11.77,362,974400000,11.66,baixa,12.09727272727273,71.42857142857143,100.0
21,2006-08-01,11.69,11.72,11.46,11.66,512,803000000,11.88,alta,11.868909090909087,57.142857142857146,100.0
22,2006-08-02,11.66,11.95,11.66,11.88,447,743800000,11.96,alta,11.834363636363634,42.85714285714286,85.71428571428572
23,2006-08-03,11.63,12.05,11.53,11.96,501,543000000,12.12,alta,11.807999999999995,28.571428571428573,71.42857142857143
24,2006-08-04,12.14,12.26,12.05,12.12,392,698800000,12.56,alta,11.834727272727264,14.285714285714286,57.142857142857146
25,2006-08-07,12.17,12.67,12.12,12.56,1067,1447600000,12.77,alta,12.048909090909095,100.0,42.85714285714286
26,2006-08-08,12.55,12.91,12.55,12.77,929,1875600000,13.04,alta,12.340545454545456,100.0,28.571428571428573
27,2006-08-09,12.8,13.23,12.8,13.04,988,1889800000,13.86,alta,12.721454545454538,100.0,14.285714285714286
28,2006-08-10,12.89,13.92,12.89,13.86,918,2567200000,13.36,baixa,13.272363636363638,100.0,0.0
29,2006-08-11,13.77,13.77,13.19,13.36,818,1410000000,13.39,alta,13.544727272727265,85.71428571428572,14.285714285714286
30,2006-08-14,13.53,13.71,13.39,13.39,460,629400000,13.56,alta,13.707272727272724,71.42857142857143,0.0
31,2006-08-15,13.58,13.69,13.29,13.56,627,1075200000,13.65,alta,13.818181818181817,57.142857142857146,0.0
32,2006-08-16,13.64,13.88,13.25,13.65,1490,980200000,13.74,alta,13.900545454545464,42.85714285714286,0.0
33,2006-08-17,13.63,13.91,13.39,13.74,422,600800000,13.51,baixa,13.933454545454552,28.571428571428573,0.0
34,2006-08-18,13.66,13.71,13.28,13.51,388,528400000,12.93,baixa,13.82181818181819,14.285714285714286,0.0
35,2006-08-21,13.15,13.15,12.69,12.93,728,3061400000,12.8,baixa,13.522000000000002,0.0,100.0
36,2006-08-22,13.03,13.03,12.74,12.8,566,830200000,12.49,baixa,13.19909090909091,57.142857142857146,85.71428571428572
37,2006-08-23,12.8,12.8,12.26,12.49,624,974000000,12.77,alta,12.821454545454541,42.85714285714286,100.0
38,2006-08-24,12.52,12.77,12.12,12.77,561,808800000,12.38,baixa,12.734545454545456,28.571428571428573,100.0
39,2006-08-25,12.7,12.72,12.33,12.38,368,519800000,12.41,alta,12.472363636363635,14.285714285714286,85.71428571428572
40,2006-08-28,12.46,12.52,12.31,12.41,419,635000000,12.21,baixa,12.27999999999999,0.0,71.42857142857143
41,2006-08-29,12.41,12.47,12.08,12.21,392,421400000,11.89,baixa,12.105999999999995,0.0,100.0
42,2006-08-30,12.16,12.37,11.74,11.89,566,785000000,12.09,alta,11.913090909090897,0.0,100.0
43,2006-08-31,11.89,12.14,11.69,12.09,770,1148600000,12.46,alta,11.903272727272734,0.0,100.0
44,2006-09-01,11.95,12.49,11.95,12.46,574,931400000,12.58,alta,12.065272727272728,0.0,85.71428571428572
