"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"05/12/2024","34,71","36,46","4,02","36,17","37,48","939,72M"
"04/12/2024","34,55","35,05","0,31","34,46","35,20","613,03M"
"03/12/2024","34,29","34,94","1,22","34,37","35,04","666,37M"
"02/12/2024","34,29","34,52","0,44","34,28","34,82","301,79M"
"29/11/2024","33,97","34,37","0,94","33,96","34,58","894,03M"
"28/11/2024","35,15","34,05","-3,81","33,87","35,29","794,96M"
"27/11/2024","36,52","35,40","-2,88","35,40","36,63","736,69M"
"26/11/2024","35,16","36,45","1,84","35,84","36,59","1,08B"
"25/11/2024","n/d","35,79","1,50","35,16","35,98","572,40M"
"22/11/2024","35,30","35,26","0,40","34,88","35,41","393,09M"
"21/11/2024","35,50","35,12","-1,43","34,84","35,40","678,67M"
"19/11/2024","35,43","35,63","0,37","35,35","35,84","812,81M"
"18/11/2024","35,43","35,50","-0,50","35,23","35,70","309,32M"
"14/11/2024","35,37","35,68","0,48","35,41","35,94","911,55M"
"13/11/2024","35,84","35,51","0,68","34,83","35,76","870,19M"
"12/11/2024","35,70","35,27","-1,59","35,14","35,93","464,93M"
"11/11/2024","35,70","35,84","0,56","35,39","36,05","213,83M"
"08/11/2024","37,20","35,64","-1,06","34,92","35,72","973,33M"
"07/11/2024","36,61","36,02","-2,09","35,96","37,66","951,22M"
"06/11/2024","37,65","36,79","-1,39","36,27","37,04","612,11M"
"05/11/2024","37,07","37,31","-1,35","37,09","37,65","478,69M"
"04/11/2024","37,07","37,82","3,00","37,04","37,82","231,91M"
"01/11/2024","37,99","36,72","-3,29","36,47","38,00","422,34M"
"31/10/2024","38,01","37,97","-0,65","37,79","38,44","237,06M"
"30/10/2024","38,09","38,22","0,45","37,91","38,37","168,08M"
"29/10/2024","38,37","38,05","-0,83","37,91","38,40","121,23M"
"28/10/2024","38,34","38,37","1,11","38,06","38,46","121,71M"
"25/10/2024","38,38","37,95","-0,91","37,78","38,39","293,75M"
"24/10/2024","38,20","38,30","0,68","37,41","38,35","248,91M"
"23/10/2024","38,21","38,04","-1,19","37,54","38,33","342,51M"
"22/10/2024","38,00","38,50","0,84","37,87","38,60","171,11M"
"21/10/2024","37,87","38,18","1,09","37,73","38,31","285,52M"
"18/10/2024","38,39","37,77","-0,94","37,77","38,55","1,31B"
"17/10/2024","37,37","38,13","0,03","37,35","38,13","284,96M"
"16/10/2024","38,57","38,12","-1,50","37,95","38,57","539,17M"
"15/10/2024","39,06","38,70","-0,57","38,47","39,25","271,02M"
"14/10/2024","38,24","38,92","2,07","38,18","39,06","310,76M"
"11/10/2024","38,04","38,13","-0,03","37,68","38,19","157,48M"
"10/10/2024","38,15","38,14","-0,13","37,83","38,25","179,42M"
"09/10/2024","38,40","38,19","-1,32","38,00","38,46","273,09M"
"08/10/2024","38,13","38,70","1,44","37,95","38,96","277,71M"
"07/10/2024","38,53","38,15","-0,03","38,08","38,72","168,75M"
"04/10/2024","38,36","38,16","-0,57","37,95","38,38","226,07M"
"03/10/2024","39,00","38,38","-2,37","37,94","39,01","370,31M"
"02/10/2024","39,86","39,31","0,08","39,30","40,08","237,57M"
"01/10/2024","39,79","39,28","-0,18","39,22","39,95","209,77M"
"30/09/2024","39,15","39,35","-0,35","39,05","39,58","252,43M"
"27/09/2024","39,60","39,49","-0,60","39,34","40,19","412,08M"
"26/09/2024","39,51","39,73","1,46","38,97","39,86","255,36M"
"25/09/2024","39,68","39,16","-1,24","39,00","39,85","261,87M"
"24/09/2024","39,61","39,65","0,25","39,43","40,50","349,91M"
"23/09/2024","39,70","39,55","-0,95","39,13","39,70","227,50M"
"20/09/2024","41,34","39,93","-3,08","39,93","41,37","596,41M"
"19/09/2024","42,20","41,20","-1,41","41,20","42,37","431,07M"
"18/09/2024","41,85","41,79","-0,92","41,50","42,36","308,43M"
"17/09/2024","41,87","42,18","0,43","41,50","42,20","181,74M"
"16/09/2024","41,69","42,00","1,16","41,51","42,42","216,04M"
"13/09/2024","41,80","41,52","0,53","41,52","42,04","275,61M"
"12/09/2024","41,18","41,30","-1,20","41,01","41,73","341,28M"
"11/09/2024","41,97","41,80","0,41","41,41","41,97","196,30M"
"10/09/2024","41,58","41,63","-0,26","41,40","41,86","238,02M"
"09/09/2024","41,85","41,74","-0,02","41,55","42,05","237,24M"
"06/09/2024","42,65","41,75","-1,49","41,71","42,61","276,45M"
"05/09/2024","42,65","42,38","-0,73","41,96","42,76","165,42M"
"04/09/2024","42,13","42,69","2,37","41,96","43,06","419,18M"
"03/09/2024","41,45","41,70","-0,48","41,47","42,15","503,79M"
"02/09/2024","41,45","41,90","0,36","41,26","42,39","290,34M"
"30/08/2024","41,95","41,75","1,09","40,72","41,75","593,53M"
"29/08/2024","41,95","41,30","-1,76","41,12","42,09","247,41M"
"28/08/2024","41,29","42,04","1,55","41,08","42,30","312,68M"
"27/08/2024","41,88","41,40","-1,15","41,40","42,14","443,91M"
"26/08/2024","41,94","41,88","0,00","41,51","42,13","312,62M"
"23/08/2024","41,09","41,88","2,40","40,85","42,20","326,84M"
"22/08/2024","41,31","40,90","-1,45","40,81","41,31","270,99M"
"21/08/2024","41,50","41,50","0,24","41,23","41,79","267,76M"
"20/08/2024","41,53","41,40","-0,31","41,11","41,63","254,83M"
"19/08/2024","40,61","41,53","2,95","40,29","41,68","557,20M"
"16/08/2024","40,84","40,34","-0,40","40,31","41,24","287,51M"
"15/08/2024","40,24","40,50","0,87","40,06","40,78","263,92M"
"14/08/2024","39,61","40,15","0,90","39,57","40,66","273,65M"
"13/08/2024","39,80","39,79","0,94","39,48","39,96","151,31M"
"12/08/2024","40,35","39,42","-1,10","39,26","40,35","213,21M"
"09/08/2024","38,81","39,86","3,21","38,78","40,11","374,99M"
"08/08/2024","37,90","38,62","2,12","37,87","39,20","255,09M"
"07/08/2024","37,85","37,82","0,75","37,48","38,00","213,06M"
"06/08/2024","37,65","37,54","-0,40","37,45","38,30","294,19M"
"05/08/2024","37,70","37,69","-1,72","37,23","37,97","313,49M"
"02/08/2024","40,40","38,35","-4,51","38,35","40,40","442,68M"
"01/08/2024","39,84","40,16","1,49","39,66","40,39","332,58M"
"31/07/2024","38,87","39,57","4,16","38,84","39,97","569,92M"
"30/07/2024","38,06","37,99","-0,52","37,92","38,32","233,71M"
"29/07/2024","38,26","38,19","-0,47","38,06","38,54","256,99M"
"26/07/2024","37,61","38,37","1,99","37,61","38,52","503,12M"
"25/07/2024","37,16","37,62","0,86","37,00","37,76","451,33M"
"24/07/2024","37,13","37,30","0,13","36,81","37,59","234,58M"
"23/07/2024","37,87","37,25","-1,56","36,95","37,95","253,01M"
"22/07/2024","37,05","37,84","2,02","37,01","38,05","259,76M"
"19/07/2024","37,90","37,09","-1,38","36,80","37,90","514,37M"
"18/07/2024","38,61","37,61","-2,51","37,49","38,77","338,30M"
"17/07/2024","38,96","38,58","-1,08","38,58","39,07","163,12M"
"16/07/2024","38,81","39,00","0,65","38,67","39,14","234,35M"
"15/07/2024","39,10","38,75","-0,90","38,72","39,35","174,15M"
"12/07/2024","38,61","39,10","1,27","38,56","39,38","274,32M"
"11/07/2024","38,60","38,61","0,99","38,42","38,96","273,22M"
"10/07/2024","38,72","38,23","-0,83","38,23","39,16","258,62M"
"09/07/2024","37,66","38,55","1,77","37,66","38,66","480,18M"
"08/07/2024","38,23","37,88","-0,16","37,76","38,62","214,22M"
"05/07/2024","38,19","37,94","-0,68","37,94","38,92","371,74M"
"04/07/2024","37,57","38,20","2,28","37,36","38,35","259,16M"
"03/07/2024","36,51","37,35","0,46","37,33","38,19","806,93M"
"02/07/2024","35,70","37,18","1,56","36,42","37,35","940,34M"
"01/07/2024","n/d","36,61","2,12","35,40","36,90","397,51M"
"28/06/2024","35,56","35,85","0,53","35,56","36,72","461,74M"
"27/06/2024","34,90","35,66","2,91","34,50","35,78","212,76M"
"26/06/2024","34,52","34,65","-0,52","34,02","34,83","223,30M"
"25/06/2024","34,85","34,83","-0,46","34,57","34,95","158,71M"
"24/06/2024","34,86","34,99","0,86","34,64","35,47","219,64M"
"21/06/2024","34,42","34,69","0,58","34,16","34,84","529,49M"
"20/06/2024","35,27","34,49","-1,60","34,31","35,40","453,39M"
"19/06/2024","35,00","35,05","0,06","34,39","35,22","360,96M"
"18/06/2024","35,07","35,03","-0,31","34,57","35,26","224,75M"
"17/06/2024","35,54","35,14","-1,54","34,79","35,59","211,01M"
"14/06/2024","35,38","35,69","0,31","34,78","35,69","261,19M"
"13/06/2024","35,55","35,58","-0,03","35,28","35,74","153,48M"
"12/06/2024","36,40","35,59","-1,74","35,36","36,53","350,64M"
"11/06/2024","36,20","36,22","0,67","36,02","36,51","192,92M"
"10/06/2024","35,93","35,98","0,70","35,52","36,30","208,27M"
"07/06/2024","36,00","35,73","-2,22","35,56","36,36","271,84M"
"06/06/2024","36,05","36,54","1,22","35,83","36,93","220,33M"
"05/06/2024","35,67","36,10","0,95","35,51","36,50","476,82M"
"04/06/2024","35,35","35,76","0,87","35,23","35,92","270,48M"
"03/06/2024","34,99","35,45","1,90","34,66","35,58","167,16M"
"31/05/2024","35,11","34,79","-1,44","34,79","35,26","380,20M"
"29/05/2024","35,50","35,30","-1,56","35,17","35,63","141,22M"
"28/05/2024","36,57","35,86","-0,94","35,76","36,73","226,84M"
"27/05/2024","36,22","36,20","0,00","36,06","36,44","79,29M"
"24/05/2024","36,26","36,20","0,17","36,14","36,63","138,45M"
"23/05/2024","36,01","36,14","-0,28","35,73","36,24","193,53M"
"22/05/2024","37,10","36,24","-3,49","35,96","37,13","474,11M"
"21/05/2024","36,81","37,55","1,90","36,43","37,59","542,30M"
"20/05/2024","38,04","36,85","-3,53","36,85","38,32","475,47M"
"17/05/2024","38,12","38,20","-0,60","37,95","38,35","376,44M"
"16/05/2024","38,52","38,43","0,65","38,02","38,66","225,67M"
"15/05/2024","38,22","38,18","-0,16","37,65","38,30","456,27M"
"14/05/2024","37,93","38,24","0,79","37,77","38,60","213,79M"
"13/05/2024","37,92","37,94","0,18","37,73","38,38","173,80M"
"10/05/2024","38,03","37,87","-0,63","37,08","38,09","284,40M"
"09/05/2024","39,05","38,11","-3,74","37,14","39,11","516,82M"
"08/05/2024","39,14","39,59","0,48","39,11","39,93","367,20M"
"07/05/2024","39,66","39,40","0,56","39,18","39,70","219,81M"
"06/05/2024","38,61","39,18","0,59","38,60","39,57","158,93M"
"03/05/2024","39,07","38,95","1,49","38,83","39,68","307,23M"
"02/05/2024","38,24","38,38","1,37","38,19","38,78","328,93M"
"30/04/2024","37,40","37,86","0,61","37,36","38,01","349,59M"
"29/04/2024","37,32","37,63","0,88","37,11","37,72","403,15M"
"26/04/2024","37,11","37,30","1,62","36,94","38,04","509,36M"
"25/04/2024","36,37","36,71","0,92","35,91","36,89","761,15M"
"24/04/2024","36,75","36,37","-1,18","36,28","36,83","477,91M"
"23/04/2024","36,85","36,81","-1,30","36,67","37,13","280,31M"
"22/04/2024","37,53","37,29","-0,29","37,08","37,67","323,91M"
"19/04/2024","37,60","37,40","-0,32","37,35","37,87","261,38M"
"18/04/2024","37,64","37,52","-0,39","37,01","37,75","223,80M"
"17/04/2024","38,04","37,67","-0,57","37,25","38,19","292,15M"
"16/04/2024","37,70","37,88","-0,52","37,67","38,43","355,91M"
"15/04/2024","38,62","38,08","-1,36","37,48","38,65","384,98M"
"12/04/2024","38,60","38,61","0,46","38,15","39,18","364,86M"
"11/04/2024","40,07","38,43","-4,62","38,31","40,23","692,17M"
"10/04/2024","40,99","40,29","-2,09","40,10","41,16","260,26M"
"09/04/2024","40,95","41,15","0,36","40,57","41,45","273,08M"
"08/04/2024","40,66","41,00","0,93","40,28","41,20","178,65M"
"05/04/2024","40,65","40,62","-0,07","39,89","40,70","237,91M"
"04/04/2024","40,70","40,65","0,49","40,50","41,78","573,35M"
"03/04/2024","40,33","40,46","0,32","39,80","40,74","166,42M"
"02/04/2024","40,43","40,33","-0,37","39,97","40,64","551,97M"
"01/04/2024","41,36","40,48","-1,89","40,40","41,74","289,13M"
"28/03/2024","41,14","41,26","-0,41","40,82","41,62","341,48M"
"27/03/2024","42,04","41,43","-1,32","40,74","42,34","258,30M"
"26/03/2024","41,67","41,98","0,38","41,67","42,33","404,20M"
"25/03/2024","41,37","41,82","0,50","41,08","42,15","261,14M"
"22/03/2024","41,93","41,61","-1,08","41,41","42,25","179,38M"
"21/03/2024","41,85","42,07","0,12","41,41","42,29","205,11M"
"20/03/2024","41,67","42,02","1,34","41,41","42,27","274,75M"
"19/03/2024","40,96","41,47","1,11","40,44","41,62","488,99M"
"18/03/2024","42,57","41,01","-3,60","40,87","42,73","402,68M"
"15/03/2024","43,60","42,54","-2,27","41,57","43,68","979,18M"
"14/03/2024","43,53","43,53","1,41","43,09","43,97","654,34M"
"13/03/2024","43,16","42,93","-0,85","42,71","43,50","499,09M"
"12/03/2024","43,00","43,30","1,39","42,62","43,50","458,48M"
"11/03/2024","42,71","42,70","-0,80","42,52","43,00","220,04M"
"08/03/2024","42,54","43,05","0,37","41,97","43,24","291,34M"
"07/03/2024","43,14","42,89","-1,10","42,64","43,25","157,89M"
"06/03/2024","43,17","43,37","0,53","43,00","43,68","188,62M"
"05/03/2024","43,14","43,14","0,00","42,96","43,83","232,42M"
"04/03/2024","43,05","43,14","-0,34","42,64","43,28","179,74M"
"01/03/2024","43,07","43,29","0,57","42,84","43,67","150,12M"
"29/02/2024","43,31","43,04","-0,93","42,82","43,61","232,69M"
"28/02/2024","43,51","43,44","-0,48","42,93","43,58","212,46M"
"27/02/2024","42,99","43,65","2,13","42,89","43,76","241,53M"
"26/02/2024","42,67","42,74","0,14","42,46","43,22","140,99M"
"23/02/2024","43,22","42,68","-0,83","42,38","43,27","281,35M"
"22/02/2024","43,31","43,04","-0,23","42,78","43,65","338,40M"
"21/02/2024","43,87","43,14","-1,93","42,59","44,05","324,33M"
"20/02/2024","42,04","43,99","3,76","41,90","44,43","589,18M"
"19/02/2024","42,04","42,40","0,82","41,87","42,61","153,08M"
"16/02/2024","42,55","42,05","-0,89","41,95","42,64","848,44M"
"15/02/2024","42,77","42,43","-0,26","42,26","43,01","681,48M"
"14/02/2024","42,91","42,53","-1,49","42,25","42,98","196,19M"
"09/02/2024","42,73","43,18","1,63","42,23","43,43","450,09M"
"08/02/2024","43,01","42,48","-0,58","42,30","43,66","401,56M"
"07/02/2024","42,84","42,73","0,14","42,49","43,31","305,05M"
"06/02/2024","40,40","42,67","5,63","40,39","42,87","377,83M"
"05/02/2024","40,22","40,40","0,44","39,87","40,65","175,85M"
"02/02/2024","41,12","40,22","-2,28","39,90","41,50","283,94M"
"01/02/2024","40,28","41,16","1,94","39,78","41,16","323,76M"
"31/01/2024","40,15","40,38","1,49","39,97","41,06","307,33M"
"30/01/2024","40,39","39,78","-1,61","39,58","40,42","180,24M"
"29/01/2024","40,45","40,44","0,02","40,36","41,08","175,69M"
"26/01/2024","40,87","40,43","-0,66","40,43","41,00","108,71M"
"25/01/2024","40,71","40,69","0,15","40,47","41,02","134,86M"
"24/01/2024","40,84","40,63","0,10","40,38","41,00","247,58M"
"23/01/2024","40,44","40,59","0,61","40,16","40,99","358,63M"
"22/01/2024","41,55","40,35","-2,23","40,03","41,61","310,04M"
"19/01/2024","40,72","41,27","1,63","40,72","41,74","300,27M"
"18/01/2024","41,70","40,60","-2,33","40,47","41,78","201,46M"
"17/01/2024","41,26","41,57","0,00","41,26","41,97","235,19M"
"16/01/2024","42,62","41,57","-3,38","41,19","42,88","370,34M"
"15/01/2024","42,46","43,03","1,30","42,46","43,96","258,80M"
"12/01/2024","42,57","42,47","-0,65","42,23","43,10","169,15M"
"11/01/2024","42,07","42,75","1,05","41,93","43,34","451,78M"
"10/01/2024","41,50","42,31","2,59","41,26","42,60","275,19M"
"09/01/2024","40,45","41,24","1,51","40,36","41,37","213,39M"
"08/01/2024","40,79","40,62","-0,48","40,27","40,91","148,06M"
"05/01/2024","40,76","40,82","-0,17","40,57","41,23","126,08M"
"04/01/2024","41,31","40,89","-0,86","40,52","41,41","123,23M"
"03/01/2024","41,36","41,25","-0,12","41,11","41,70","155,72M"
"02/01/2024","41,58","41,30","-1,63","41,07","41,92","147,39M"
"28/12/2023","41,79","41,98","0,47","41,77","42,24","189,94M"
"27/12/2023","41,63","41,78","0,33","41,48","41,97","94,23M"
"26/12/2023","41,60","41,64","0,29","41,48","41,80","103,29M"
"22/12/2023","41,16","41,52","0,89","40,85","41,89","173,78M"
"21/12/2023","41,17","41,16","0,95","40,63","41,22","163,13M"
"20/12/2023","41,46","40,77","-1,65","40,47","41,75","363,20M"
"19/12/2023","41,12","41,46","0,82","40,90","41,47","212,98M"
"18/12/2023","40,37","41,12","1,91","40,32","41,29","295,83M"
"15/12/2023","41,20","40,35","-2,07","40,19","41,50","345,81M"
"14/12/2023","41,71","41,20","-0,41","40,57","41,71","354,18M"
"13/12/2023","40,22","41,37","2,90","40,10","41,55","362,15M"
"12/12/2023","40,32","40,20","-0,56","39,97","40,58","166,02M"
"11/12/2023","40,26","40,43","-0,10","40,18","40,95","187,77M"
"08/12/2023","40,96","40,47","-1,52","40,37","41,28","229,07M"
"07/12/2023","40,87","41,09","0,36","40,87","41,37","114,47M"
"06/12/2023","41,32","40,94","-0,17","40,73","41,51","151,41M"
"05/12/2023","40,30","41,01","1,74","40,08","41,35","332,27M"
"04/12/2023","40,56","40,31","-0,90","40,04","40,79","157,44M"
"01/12/2023","40,33","40,67","0,61","39,88","40,94","253,06M"
"30/11/2023","40,33","40,43","0,29","39,65","40,65","348,01M"
"29/11/2023","40,53","40,31","-0,68","40,18","40,79","206,18M"
"28/11/2023","40,86","40,58","-0,68","40,24","41,26","195,03M"
"27/11/2023","40,47","40,86","2,00","39,95","41,04","308,40M"
"24/11/2023","40,76","40,06","-1,91","39,80","40,76","196,08M"
"23/11/2023","39,97","40,84","2,05","39,79","41,03","237,21M"
"22/11/2023","39,86","40,02","1,25","39,47","40,35","508,82M"
"21/11/2023","40,06","39,53","-2,04","39,46","40,22","301,42M"
"20/11/2023","40,63","40,35","0,92","39,82","40,63","216,58M"
"17/11/2023","40,37","39,98","-0,74","39,44","40,77","343,30M"
"16/11/2023","38,98","40,28","3,14","38,98","40,34","487,61M"
"14/11/2023","38,05","39,05","3,38","37,56","39,26","489,89M"
"13/11/2023","37,00","37,77","2,22","36,85","38,09","334,53M"
"10/11/2023","37,20","36,95","0,19","36,71","37,70","322,28M"
"09/11/2023","37,40","36,88","-0,69","36,70","37,53","212,27M"
"08/11/2023","37,60","37,14","-0,45","36,75","38,28","361,89M"
"07/11/2023","36,81","37,31","1,67","36,66","37,69","484,76M"
"06/11/2023","36,53","36,70","0,52","35,96","36,83","174,26M"
"03/11/2023","36,61","36,51","2,39","35,92","36,89","212,82M"
"01/11/2023","34,63","35,66","3,44","34,49","35,91","313,12M"
"31/10/2023","34,08","34,47","1,43","33,81","34,51","132,61M"
"30/10/2023","34,52","33,99","0,00","33,77","34,83","210,74M"
"27/10/2023","34,95","33,99","-2,19","33,69","35,49","282,51M"
"26/10/2023","34,15","34,75","2,60","34,00","34,80","165,17M"
"25/10/2023","34,19","33,87","-1,10","33,53","34,29","185,38M"
"24/10/2023","34,12","34,24","1,26","33,87","34,52","143,36M"
"23/10/2023","33,58","33,82","0,21","33,57","34,38","276,36M"
"20/10/2023","33,33","33,75","0,89","33,29","34,18","272,42M"
"19/10/2023","33,41","33,45","0,12","33,20","34,14","260,53M"
"18/10/2023","34,15","33,41","-3,27","33,28","34,27","303,91M"
"17/10/2023","34,77","34,54","-1,97","34,34","35,30","192,27M"
"16/10/2023","35,13","35,23","0,68","34,84","35,56","135,59M"
"13/10/2023","36,26","34,99","-3,18","34,99","36,35","179,40M"
"11/10/2023","36,01","36,14","0,72","35,60","36,18","133,54M"
"10/10/2023","35,40","35,89","2,31","35,21","36,01","215,27M"
"09/10/2023","34,06","35,07","1,87","33,89","35,36","173,34M"
"06/10/2023","34,19","34,43","-0,34","33,41","34,61","298,64M"
"05/10/2023","34,99","34,55","-1,36","34,28","35,34","286,03M"
"04/10/2023","34,98","35,02","0,28","34,64","35,36","164,51M"
"03/10/2023","35,88","34,93","-2,54","34,79","35,96","266,21M"
"02/10/2023","36,41","35,84","-1,82","35,79","36,46","127,25M"
"29/09/2023","36,22","36,50","1,65","36,06","36,53","290,13M"
"28/09/2023","34,97","35,91","2,51","34,94","36,17","319,48M"
"27/09/2023","35,92","35,02","-2,21","34,52","36,16","347,11M"
"26/09/2023","36,51","35,82","0,92","35,82","37,40","639,03M"
"25/09/2023","34,71","35,49","1,73","34,57","35,83","234,22M"
"22/09/2023","34,78","34,89","0,89","34,36","35,07","227,82M"
"21/09/2023","34,79","34,58","-3,24","34,48","35,41","315,71M"
"20/09/2023","35,10","35,74","1,95","35,03","35,94","171,32M"
"19/09/2023","35,43","35,05","-0,48","34,96","35,61","184,11M"
"18/09/2023","35,41","35,22","-0,39","34,97","35,62","144,82M"
"15/09/2023","36,05","35,36","-2,24","35,36","36,20","334,51M"
